STITCH,Gene
CID000060752,3757
CID006918155,2908
CID103052762,3359
CID023668479,1230
CID000028864,1269
CID000028864,124274
CID000028864,2849
CID000028864,2847
CID000028864,2844
CID000028864,2845
CID000028864,2842
CID000028864,54112
CID000028864,136
CID000028864,135
CID000028864,134
CID000028864,10692
CID000028864,9287
CID000028864,9283
CID000028864,4985
CID000028864,4987
CID000028864,10663
CID000028864,4988
CID000028864,27201
CID000028864,4889
CID000028864,221391
CID000028864,2850
CID000028864,84539
CID000028864,84634
CID000028864,4887
CID000028864,54329
CID000028864,54328
CID000028864,10886
CID000028864,10887
CID000028864,729230
CID000028864,23566
CID000028864,10888
CID000028864,9170
CID000028864,6010
CID000028864,56923
CID000028864,2798
CID000028864,128674
CID000028864,10803
CID000028864,319100
CID000028864,23596
CID000028864,94233
CID000028864,3274
CID000028864,285601
CID000028864,2827
CID000028864,53831
CID000028864,1902
CID000028864,338557
CID000028864,1234
CID000028864,1230
CID000028864,1813
CID000028864,1232
CID000028864,1233
CID000028864,1238
CID000028864,2837
CID000028864,2835
CID000028864,2834
CID000028864,2832
CID000028864,2831
CID000028864,2830
CID000028864,344561
CID000028864,2652
CID000028864,3354
CID000028864,5737
CID000028864,1241
CID000028864,8811
CID000028864,3351
CID000028864,83550
CID000028864,3350
CID000028864,623
CID000028864,2861
CID000028864,64106
CID000028864,3352
CID000028864,339403
CID000028864,153
CID000028864,7852
CID000028864,3269
CID000028864,83873
CID000028864,152
CID000028864,155
CID000028864,9038
CID000028864,134864
CID000028864,64582
CID000028864,4829
CID000028864,5540
CID000028864,3361
CID000028864,3362
CID000028864,3363
CID000028864,186
CID000028864,187
CID000028864,185
CID000028864,2587
CID000028864,9293
CID000028864,5021
CID000028864,57007
CID000028864,4986
CID000028864,118442
CID000028864,8477
CID000028864,4157
CID000028864,84109
CID000028864,2925
CID000028864,5956
CID000028864,6752
CID000028864,6753
CID000028864,350383
CID000028864,6751
CID000028864,6754
CID000028864,6755
CID000028864,2693
CID000028864,151
CID000028864,150
CID000028864,2862
CID000028864,2863
CID000028864,887
CID000028864,886
CID000028864,554
CID000028864,4886
CID000028864,552
CID000028864,59340
CID000028864,3062
CID000028864,3061
CID000028864,4923
CID000028864,1816
CID000028864,5729
CID000028864,4161
CID000028864,4160
CID000028864,11245
CID000028864,7201
CID000028864,139760
CID000028864,1565
CID000028864,146
CID000028864,147
CID000028864,134391
CID000028864,140
CID000028864,51289
CID000028864,611
CID000028864,148
CID000028864,3355
CID000028864,5734
CID000028864,3357
CID000028864,3356
CID000028864,5731
CID000028864,10316
CID000028864,5733
CID000028864,5732
CID000028864,5739
CID000028864,3358
CID000028864,23620
CID000028864,5995
CID000028864,56413
CID000028864,1812
CID000028864,6915
CID000028864,4158
CID000028864,4159
CID000028864,11250
CID000028864,1814
CID000028864,8484
CID000028864,81491
CID000028864,83551
CID000028864,680
CID000028864,11255
CID100003350,1559
CID100003350,6715
CID100003350,1557
CID100003350,6718
CID000060936,4313
CID000003488,1559
CID000003488,8647
CID100000303,10062
CID100000303,4306
CID100000303,116362
CID100000303,760
CID100000303,131
CID100000303,130
CID100000303,2099
CID100000303,646486
CID100000303,125965
CID100000303,5375
CID100000303,151306
CID100000303,26279
CID100000303,8431
CID100000303,729330
CID100000303,9377
CID100000303,5465
CID100000303,125
CID100000303,5467
CID100000303,127
CID100000303,128
CID100000303,5468
CID100000303,388753
CID100000303,1066
CID100000303,6258
CID100000303,5915
CID100000303,5914
CID100000303,5916
CID100000303,6257
CID100000303,6256
CID100000303,1382
CID100000303,84701
CID100000303,1327
CID100000303,2908
CID100000303,190
CID100000303,391013
CID100000303,5319
CID100000303,2172
CID100000303,2173
CID100000303,2170
CID100000303,2171
CID100000303,646480
CID100000303,367
CID100000303,1339
CID100000303,1337
CID100000303,5322
CID100000303,7026
CID100000303,7025
CID100000303,2063
CID100000303,5241
CID100000303,7376
CID100000303,1381
CID100000303,64600
CID100000303,2169
CID100000303,2168
CID100000303,7421
CID100000303,2167
CID100000303,1349
CID100000303,5320
CID100000303,1340
CID100000303,1345
CID100000303,1346
CID100000303,5947
CID100000303,5948
CID100000303,9971
CID100000303,9970
CID100000303,1329
CID100000303,1350
CID100000303,2103
CID100000303,2101
CID100000303,2100
CID100000303,2104
CID100000303,30814
CID100000303,4512
CID100000303,4513
CID100000303,4514
CID100000303,170712
CID100000303,124
CID100000303,2649
CID100000303,8399
CID100000303,7101
CID100000303,11168
CID100000303,7068
CID100000303,7067
CID100000303,2235
CID100000303,83758
CID100000303,7181
CID100000303,7182
CID100000303,8856
CID100005472,151
CID100005472,150
CID100005472,199974
CID100005472,339761
CID100005472,120227
CID100005472,66002
CID100005472,57404
CID100005472,5740
CID100005472,8529
CID100005472,152
CID100005472,1549
CID100005472,1588
CID100005472,1545
CID100005472,1573
CID100005472,51302
CID100005472,1582
CID100005472,1583
CID100005472,1580
CID100005472,1581
CID100005472,1586
CID100005472,284541
CID100005472,1584
CID100005472,10858
CID100005472,260293
CID100005472,29785
CID100005472,9420
CID100005472,1562
CID100005472,1565
CID100005472,126410
CID100005472,113612
CID100005472,1544
CID100005472,1594
CID100005472,6916
CID100005472,1591
CID100005472,1593
CID100005472,1592
CID100005472,1585
CID100005472,340665
CID100005472,1543
CID100005472,1551
CID100005472,1553
CID100005472,1555
CID100005472,1557
CID100005472,4051
CID100005472,57834
CID100005472,1558
CID100005472,64816
CID100005472,1559
CID100005472,1579
CID100005472,54905
CID100005472,1572
CID100005472,1571
CID100005472,285440
CID100005472,1577
CID100005472,1576
CID100005470,10062
CID100005470,5467
CID100005470,2649
CID100005470,2908
CID100005470,5916
CID100005470,190
CID100005470,6532
CID100005470,2099
CID100005470,4306
CID100005470,9971
CID100005470,9970
CID100005470,367
CID100005470,8431
CID100005470,2103
CID100005470,7101
CID100005470,5465
CID100005470,7026
CID100005470,7025
CID100005470,5914
CID100005470,5468
CID100005470,7182
CID100005470,2100
CID100005470,7068
CID100005470,7067
CID100005470,5241
CID100005470,7376
CID100005470,6256
CID100005470,6258
CID100005470,7421
CID100005470,5915
CID100005470,7181
CID100005470,2101
CID100005470,2063
CID100005470,6257
CID100005470,8856
CID100005470,2104
CID100002794,5243
CID100002791,10062
CID100002791,5467
CID100002791,2649
CID100002791,2908
CID100002791,5916
CID100002791,190
CID100002791,2099
CID100002791,4306
CID100002791,9971
CID100002791,9970
CID100002791,367
CID100002791,8431
CID100002791,2103
CID100002791,7101
CID100002791,5465
CID100002791,7026
CID100002791,7025
CID100002791,5914
CID100002791,5468
CID100002791,7182
CID100002791,2063
CID100002791,7068
CID100002791,7067
CID100002791,5241
CID100002791,7376
CID100002791,6256
CID100002791,6258
CID100002791,7421
CID100002791,5915
CID100002791,7181
CID100002791,2101
CID100002791,2100
